incident_id,incident_date,terminal_id,severity,category,description_text,resolution_text,days_to_resolve
INC0011,2025-11-19,T005,low,equipment,Ice buildup on crane rails at Bickerdike Terminal following freezing rain event. Three gantry cranes unable to traverse full rail length. De-icing crews deployed. Operations reduced to 60% capacity for 8 hours.,Rail heating system installed on priority crane tracks. De-icing protocol established for forecast freezing rain events.,15
INC0012,2025-09-20,T001,low,safety,Truck driver medical emergency at Viau Terminal gate. Driver experienced cardiac event while waiting in queue. Terminal first responders provided CPR and AED. Ambulance arrived in 7 minutes. Driver stabilized and transported to hospital.,AED inspections increased to weekly. Additional first aid trained personnel assigned to gate areas.,8
INC0013,2025-04-19,T005,medium,weather,Bulk grain shipment contaminated with non-declared seed variety discovered during loading at Racine Terminal. Canadian Grain Commission inspector halted loading. 2400 tonnes of wheat held for testing. Export schedule delayed 5 days.,Enhanced grain sampling protocol at origin implemented. Shipper required to provide pre-loading genetic testing certificates.,10
INC0014,2025-09-19,T002,medium,security,High winds exceeding 65 km/h triggered automatic crane shutdown at Cast Terminal. Four ships delayed departure. Port operations reduced to essential safety monitoring only for 6 hours. Economic impact estimated at 3.5M CAD.,Wind speed trigger thresholds reviewed. Communication between weather service and terminal ops improved.,11
INC0015,2025-05-27,T002,medium,safety,Marine pollution incident: ballast water discharge violation detected from vessel ZIM Atlantic at Maisonneuve Terminal. Water samples collected by Transport Canada inspector showed non-compliant biological content. Vessel detained.,Ballast water sampling protocol enhanced. Port Authority now requires pre-arrival ballast water exchange documentation.,14
INC0016,2025-04-22,T005,medium,environmental,Collision between two reach stackers in container yard at Viau Terminal during fog conditions. Minor damage to both vehicles. No operator injuries. Root cause: poor visibility combined with malfunctioning backup alarm.,Fog operation protocols updated. Backup alarm inspection frequency increased. Reflective markings added to all reach stackers.,6
INC0017,2025-04-20,T003,critical,safety,Suspicious package discovered in passenger area of Port of Montreal cruise terminal. Area evacuated. RCMP explosive disposal unit called. Package determined to be abandoned luggage after 3-hour investigation.,Surveillance system review completed. Baggage scanning procedures updated. Staff awareness training refreshed.,9
INC0018,2025-05-01,T004,low,marine,St. Lawrence River water level dropped below minimum draft requirement for deep-sea vessels at Cast Terminal berth 3. Two fully loaded container ships unable to depart. Partial cargo discharge required.,Dredging assessment initiated. Tide and river level monitoring enhanced. Draft restriction notices automated.,17
INC0019,2025-07-28,T001,low,security,Labour action: wildcat strike by longshoremen at Maisonneuve Terminal over safety concerns related to crane maintenance backlog. 200 workers off job for 4 hours. Port Authority mediation resolved immediate concerns.,Crane maintenance schedule accelerated per agreement. Joint safety committee established with bi-weekly meetings.,3
INC0020,2025-12-25,T005,medium,equipment,Container stack collapse at Bickerdike Terminal. Four containers in a six-high stack toppled during high-wind event. No personnel in area. Two containers sustained significant damage. Terminal stacking policy revised.,Stacking policy updated: maximum 4 containers high when wind forecast exceeds 40km/h. Training on twist-lock engagement conducted.,3
INC0021,2025-08-16,T003,medium,security,Cybersecurity incident: phishing attempt targeting Port of Montreal terminal operating system credentials. Three employees reported suspicious emails. IT security team confirmed no credentials compromised.,Hydraulic coupling replaced with upgraded fatigue-resistant model. Maintenance interval reduced. All similar cranes inspected.,18
INC0022,2025-11-03,T003,low,environmental,Environmental monitoring detected elevated noise levels exceeding 85dB at Racine Terminal boundary during night operations. Nearby residential complaints filed with City of Montreal. Noise mitigation measures implemented.,Containment and cleanup completed. Bunkering procedures updated to require double-check of fuel line connections. Vessel crew re-trained.,22
INC0023,2025-06-03,T004,medium,security,Fire alarm activation in Viau Terminal administrative building. Cause determined to be welding operations on adjacent berth triggering smoke detectors. Building evacuated for 25 minutes. False alarm.,Access control system upgraded. All terminated employee credentials now automatically revoked within 24 hours.,30
INC0024,2025-11-03,T003,critical,environmental,Navigation hazard: partially submerged shipping container reported by harbour pilot near Ile Sainte-Helene. Container identified as having fallen from vessel during storm. Canadian Coast Guard coordinated removal.,Bearing replaced. Vibration monitoring sensors installed on all trolley mechanisms fleet-wide. Predictive maintenance algorithm updated.,9
INC0025,2025-12-17,T003,low,marine,Refrigerated container failure at Cast Terminal. Unit containing pharmaceutical products reached critical temperature after power disconnect. Temperature excursion lasted 4 hours. Cargo declared total loss of 180K CAD.,Post-storm debrief conducted. Emergency preparedness plan updated with earlier trigger thresholds. Snow removal contracts enhanced.,8
INC0026,2025-12-16,T001,medium,equipment,Multi-vehicle accident at Maisonneuve Terminal main access road. Tanker truck rear-ended by container chassis. Fuel tank integrity maintained. Road closed for 2 hours. Four truck appointments missed.,Pilot procedures updated for strong current conditions. Additional tug escort now mandatory when current exceeds 4 knots.,23
INC0027,2025-06-15,T003,low,weather,Vessel Maersk Quebec dragged anchor during sudden wind shift while at anchorage in Lac Saint-Pierre. Vessel moved 200m before engines engaged. No collision or grounding. Anchor chain inspection required.,Equipment securing procedures reviewed. Additional training provided on dynamic load awareness. Modified lashing tool design implemented.,12
INC0028,2025-12-04,T003,critical,equipment,CBSA officers discovered 50kg of undeclared controlled substance concealed in machinery shipment at Bickerdike Terminal. Three arrests made. Joint investigation with RCMP initiated.,Container inspection frequency increased for chemical cargo. New damage detection protocol at origin port required.,5
INC0029,2025-04-03,T004,critical,marine,Power outage affecting entire Racine Terminal lasting 3.5 hours due to transformer failure. Backup generators failed to auto-start. Reefer containers on emergency power within 25 minutes. Three cranes inoperable.,Electrical system rewired. Fire suppression system upgraded. Vessel cleared after classification society inspection.,23
INC0030,2025-10-13,T005,critical,marine,Marine fuel spill during ship-to-ship bunkering operation near Cast Terminal. Approximately 200L of heavy fuel oil released into river. Federal spill response activated. Cleanup completed in 48 hours.,Counter-drone detection system procurement initiated. Security patrol frequency increased during night hours.,22
INC0031,2025-12-15,T002,low,marine,Structural crack discovered in berth wall at Viau Terminal during routine underwater inspection. 2.5m crack in concrete caisson below waterline. Berth restricted pending repair.,Rail heating system installed on priority crane tracks. De-icing protocol established for forecast freezing rain events.,5
INC0032,2025-04-11,T003,low,marine,Grain dust explosion risk identified at Racine Terminal grain elevator. Dust concentration exceeded safe levels. Operations halted for 12 hours. Ventilation system upgraded.,AED inspections increased to weekly. Additional first aid trained personnel assigned to gate areas.,7
INC0033,2025-06-06,T002,medium,safety,Container weighing discrepancy: VGM checks at Maisonneuve Terminal found 15% of containers exceeding declared weight by more than 5%. Shipping lines notified. Enhanced weighing protocol implemented.,Enhanced grain sampling protocol at origin implemented. Shipper required to provide pre-loading genetic testing certificates.,4
INC0034,2025-05-13,T005,medium,marine,Worker exposure incident: asbestos-containing material disturbed during demolition at Bickerdike Terminal. Air monitoring detected elevated fiber levels. Work area quarantined. Eight workers sent for evaluation.,Wind speed trigger thresholds reviewed. Communication between weather service and terminal ops improved.,29
INC0035,2025-08-13,T002,low,marine,Coast Guard vessel collision with navigation buoy near port approach channel. Buoy displaced creating navigation hazard for 6 hours until repositioned. Temporary notice to mariners issued.,Ballast water sampling protocol enhanced. Port Authority now requires pre-arrival ballast water exchange documentation.,6
INC0036,2025-05-11,T005,medium,security,Illegal dumping discovered behind Racine Terminal perimeter fence. Approximately 20 cubic meters of construction waste. Security footage identified contractor vehicle. Environmental assessment conducted.,Fog operation protocols updated. Backup alarm inspection frequency increased. Reflective markings added to all reach stackers.,21
INC0037,2025-08-01,T001,high,safety,Protest by environmental group blocked truck access to Cast Terminal for 3 hours. Approximately 50 protesters regarding ballast water regulations. Montreal police mediated. Protesters dispersed peacefully.,Surveillance system review completed. Baggage scanning procedures updated. Staff awareness training refreshed.,7
INC0038,2025-04-06,T001,low,safety,Seaway lock malfunction at Saint-Lambert Lock delayed 7 vessels en route to Port of Montreal for 16 hours. Mechanical repair completed. Backlog cleared over subsequent 36 hours.,Dredging assessment initiated. Tide and river level monitoring enhanced. Draft restriction notices automated.,28
INC0039,2025-06-14,T003,high,security,Lightning strike on crane at Maisonneuve Terminal caused PLC controller failure. Crane inoperable for 72 hours pending replacement controller. Surge protection systems under review.,Crane maintenance schedule accelerated per agreement. Joint safety committee established with bi-weekly meetings.,8
INC0040,2025-08-05,T003,low,equipment,Stowaway discovered in container from Tangier at Viau Terminal during CBSA inspection. Individual in poor health transported to hospital. CBSA and Immigration notified.,Stacking policy updated: maximum 4 containers high when wind forecast exceeds 40km/h. Training on twist-lock engagement conducted.,25
