invoice_id,manifest_id,shipper_name,consignee_name,consignee_city,commodity_hs_code,commodity_description,quantity,unit_price_cad,total_value_cad,currency_original,exchange_rate,payment_terms,invoice_date
INV00021,M0070,Nordic Shipping AB,St-Laurent Logistics,Hamilton,2329.23,Cotton textiles,3877,41.97,162717.69,EUR,1.5796,LC_AT_SIGHT,2025-02-18
INV00022,M0092,Hanseatic Trade AG,Canadian Wholesale Group,Toronto,2130.97,Household appliances,3451,228.7,789243.7,EUR,1.3242,NET90,2025-03-03
INV00023,M0183,TransEuropa SpA,Ontario Imports Corp,Montreal,9648.43,Cotton textiles,4116,484.36,1993625.76,EUR,1.8713,LC_AT_SIGHT,2025-09-24
INV00024,M0141,Atlantic Exports BV,St-Laurent Logistics,Toronto,1117.38,Cotton textiles,4143,51.89,214980.27,GBP,1.7942,NET90,2025-11-21
INV00025,M0166,Mediterranean Commerce SRL,Eastern Canada Imports Ltd,Montreal,1835.92,Canned goods,1426,293.25,418174.5,GBP,1.3552,NET90,2025-02-02
INV00026,M0119,Channel Freight UK,Great Northern Distribution,Gatineau,7313.58,Polyethylene pellets,879,88.15,77483.85,GBP,1.5124,NET60,2025-05-09
INV00027,M0115,Channel Freight UK,Atlantic Commerce Group,Quebec City,9247.73,Polyethylene pellets,2485,22.15,55042.75,EUR,1.5874,NET30,2025-05-13
INV00028,M0036,Iberian Logistics SL,Maple Leaf Trading Co,Longueuil,1258.55,Canned goods,6918,103.73,717604.14,EUR,1.7689,NET90,2025-10-17
INV00029,M0083,Rhine Trading GmbH,Metro Supply Chain,Hamilton,3813.45,Electronic components,6413,138.87,890573.31,EUR,1.6177,CAD,2025-04-06
INV00030,M0026,Mediterranean Commerce SRL,Ontario Imports Corp,Montreal,3883.59,Office furniture,4110,330.15,1356916.5,GBP,1.4057,CAD,2025-06-26
INV00031,M0189,Rhine Trading GmbH,Metro Supply Chain,Hamilton,8228.82,Industrial pumps,5928,457.42,2711585.76,EUR,1.6253,NET60,2025-08-02
INV00032,M0024,Nordic Shipping AB,Distribution Quebec Inc.,Longueuil,7110.52,Pharmaceutical ingredients,970,120.15,116545.5,GBP,1.7839,NET90,2025-12-06
INV00033,M0083,Channel Freight UK,St-Laurent Logistics,Toronto,7756.19,Office furniture,1025,15.85,16246.25,EUR,1.6516,NET90,2025-05-11
INV00034,M0035,TransEuropa SpA,Les Entrepots du Fleuve,Trois-Rivieres,3281.98,Pharmaceutical ingredients,2630,367.51,966551.3,USD,1.4339,CAD,2025-03-13
INV00035,M0079,Rhine Trading GmbH,Atlantic Commerce Group,Gatineau,8214.33,Pharmaceutical ingredients,4875,68.04,331695.0,USD,1.8526,CAD,2025-04-21
INV00036,M0145,Euro Freight SA,Metro Supply Chain,Toronto,4054.50,Cotton textiles,1755,468.66,822498.3,EUR,1.793,NET90,2025-08-01
INV00037,M0068,Atlantic Exports BV,Metro Supply Chain,Sherbrooke,2310.16,Polyethylene pellets,3485,128.52,447892.2,EUR,1.7396,NET60,2025-07-16
INV00038,M0097,Atlantic Exports BV,Les Entrepots du Fleuve,Hamilton,9397.38,Cotton textiles,5804,275.28,1597725.12,EUR,1.3442,NET30,2025-05-01
INV00039,M0082,Atlantic Exports BV,Metro Supply Chain,Ottawa,5830.19,Steel coils,4328,476.07,2060430.96,EUR,1.5028,CAD,2025-08-23
INV00040,M0008,Euro Freight SA,Atlantic Commerce Group,Gatineau,3016.22,Office furniture,7116,471.51,3355265.16,GBP,1.8846,LC_AT_SIGHT,2025-12-18
INV00041,M0185,Mediterranean Commerce SRL,Canadian Wholesale Group,Quebec City,2216.60,Pharmaceutical ingredients,8899,136.31,1213022.69,EUR,1.8039,NET60,2025-01-12
INV00042,M0001,Channel Freight UK,Les Entrepots du Fleuve,Quebec City,2213.36,Cotton textiles,7055,48.38,341320.9,USD,1.8862,LC_AT_SIGHT,2025-02-10
INV00043,M0102,Mediterranean Commerce SRL,Eastern Canada Imports Ltd,Longueuil,5933.57,Polyethylene pellets,7765,247.1,1918731.5,USD,1.4119,NET30,2025-05-15
INV00044,M0120,Mediterranean Commerce SRL,Atlantic Commerce Group,Montreal,2999.95,Auto parts - brakes,4365,116.99,510661.35,EUR,1.7009,CAD,2025-07-25
INV00045,M0151,TransEuropa SpA,Ontario Imports Corp,Gatineau,7897.70,Pharmaceutical ingredients,3777,279.03,1053896.31,GBP,1.5858,NET30,2025-07-28
INV00046,M0183,Iberian Logistics SL,Atlantic Commerce Group,Hamilton,2825.67,Cotton textiles,618,253.54,156687.72,GBP,1.8833,NET60,2025-03-02
INV00047,M0109,TransEuropa SpA,Maple Leaf Trading Co,Ottawa,8643.50,Auto parts - brakes,1333,494.2,658768.6,EUR,1.5329,LC_AT_SIGHT,2025-09-11
INV00048,M0071,Rhine Trading GmbH,Atlantic Commerce Group,Hamilton,7663.24,Polyethylene pellets,8564,231.79,1985049.56,GBP,1.3889,CAD,2025-10-25
INV00049,M0026,Atlantic Exports BV,Canadian Wholesale Group,Longueuil,5462.43,Polyethylene pellets,1780,283.53,504683.4,EUR,1.6432,LC_AT_SIGHT,2025-01-06
INV00050,M0071,Channel Freight UK,Great Northern Distribution,Montreal,6052.98,Industrial pumps,6652,76.21,506948.92,EUR,1.7474,NET90,2025-06-01
INV00051,M0087,Hanseatic Trade AG,Eastern Canada Imports Ltd,Quebec City,2748.66,Office furniture,5015,158.92,796983.8,USD,1.7373,CAD,2025-11-03
INV00052,M0049,TransEuropa SpA,Les Entrepots du Fleuve,Longueuil,5717.75,Cotton textiles,7287,109.64,798946.68,EUR,1.4867,CAD,2025-07-05
INV00053,M0200,Rhine Trading GmbH,St-Laurent Logistics,Quebec City,3517.41,Electronic components,8639,440.27,3803492.53,EUR,1.3303,NET90,2025-12-07
INV00054,M0071,Iberian Logistics SL,Great Northern Distribution,Toronto,9713.40,Office furniture,6085,412.64,2510914.4,EUR,1.6564,NET60,2025-08-19
INV00055,M0142,Mediterranean Commerce SRL,Eastern Canada Imports Ltd,Sherbrooke,1359.16,Cotton textiles,5780,175.4,1013812.0,EUR,1.7679,NET60,2025-04-21
INV00056,M0058,TransEuropa SpA,Ontario Imports Corp,Montreal,9711.70,Cotton textiles,3437,138.2,474993.4,GBP,1.6607,NET30,2025-04-09
INV00057,M0156,Mediterranean Commerce SRL,Great Northern Distribution,Gatineau,5468.42,Industrial pumps,5054,357.81,1808371.74,EUR,1.4813,CAD,2025-10-13
INV00058,M0150,Global Commodities Ltd,Ontario Imports Corp,Hamilton,8746.48,Auto parts - brakes,1726,8.64,14912.64,EUR,1.3383,NET90,2025-11-11
INV00059,M0071,Mediterranean Commerce SRL,Maple Leaf Trading Co,Ottawa,7640.17,Pharmaceutical ingredients,4328,329.78,1427287.84,EUR,1.6963,NET60,2025-12-01
INV00060,M0168,Mediterranean Commerce SRL,Great Northern Distribution,Gatineau,5914.84,Pharmaceutical ingredients,8198,498.75,4088752.5,GBP,1.5059,NET60,2025-11-18
INV00061,M0164,Global Commodities Ltd,Ontario Imports Corp,Sherbrooke,3194.81,Cotton textiles,7844,453.73,3559058.12,USD,1.3586,NET60,2025-12-09
INV00062,M0186,Euro Freight SA,Metro Supply Chain,Toronto,3855.38,Household appliances,9209,382.64,3523731.76,EUR,1.7729,NET90,2025-06-09
INV00063,M0150,Atlantic Exports BV,Les Entrepots du Fleuve,Montreal,9184.84,Pharmaceutical ingredients,4867,234.56,1141603.52,EUR,1.5833,NET60,2025-09-04
INV00064,M0175,TransEuropa SpA,Distribution Quebec Inc.,Ottawa,2735.53,Polyethylene pellets,6303,267.27,1684602.81,EUR,1.8357,LC_AT_SIGHT,2025-03-11
INV00065,M0184,Hanseatic Trade AG,Metro Supply Chain,Ottawa,5091.17,Electronic components,3004,390.58,1173302.32,EUR,1.4641,NET60,2025-10-25
INV00066,M0041,Atlantic Exports BV,St-Laurent Logistics,Hamilton,6591.64,Polyethylene pellets,8071,393.68,3177391.28,EUR,1.8792,LC_AT_SIGHT,2025-01-02
INV00067,M0137,Rhine Trading GmbH,Metro Supply Chain,Longueuil,3412.96,Electronic components,3317,366.68,1216277.56,GBP,1.4358,NET90,2025-05-05
INV00068,M0027,Mediterranean Commerce SRL,St-Laurent Logistics,Toronto,1548.47,Canned goods,6334,254.15,1609786.1,EUR,1.6578,NET90,2025-07-22
INV00069,M0035,Hanseatic Trade AG,Metro Supply Chain,Quebec City,3161.12,Industrial pumps,5665,498.09,2821679.85,GBP,1.7363,NET60,2025-04-24
INV00070,M0006,Atlantic Exports BV,Metro Supply Chain,Montreal,5891.42,Steel coils,9711,254.79,2474265.69,EUR,1.3292,NET30,2025-11-04
INV00071,M0168,Atlantic Exports BV,Great Northern Distribution,Laval,5825.80,Household appliances,373,28.88,10772.24,EUR,1.7211,NET60,2025-12-22
INV00072,M0162,Atlantic Exports BV,Ontario Imports Corp,Sherbrooke,8987.99,Cotton textiles,202,154.05,31118.1,EUR,1.7984,NET30,2025-09-24
INV00073,M0159,Atlantic Exports BV,Les Entrepots du Fleuve,Quebec City,8735.43,Steel coils,1978,144.94,286691.32,GBP,1.5148,LC_AT_SIGHT,2025-05-06
INV00074,M0011,Nordic Shipping AB,Les Entrepots du Fleuve,Trois-Rivieres,4010.11,Auto parts - brakes,9030,250.7,2263821.0,EUR,1.8011,LC_AT_SIGHT,2025-03-03
INV00075,M0200,Atlantic Exports BV,Canadian Wholesale Group,Quebec City,6847.43,Canned goods,8433,42.15,355450.95,EUR,1.3599,NET60,2025-01-28
INV00076,M0075,Global Commodities Ltd,Great Northern Distribution,Toronto,2215.11,Cotton textiles,5951,401.79,2391052.29,GBP,1.4972,LC_AT_SIGHT,2025-10-09
INV00077,M0188,Global Commodities Ltd,St-Laurent Logistics,Toronto,6161.68,Household appliances,1572,189.45,297815.4,EUR,1.7139,LC_AT_SIGHT,2025-07-21
INV00078,M0043,Rhine Trading GmbH,St-Laurent Logistics,Toronto,6385.71,Pharmaceutical ingredients,1902,70.59,134262.18,EUR,1.4088,LC_AT_SIGHT,2025-06-20
INV00079,M0008,Hanseatic Trade AG,Eastern Canada Imports Ltd,Gatineau,6615.18,Household appliances,2190,244.12,534622.8,USD,1.3074,CAD,2025-12-19
INV00080,M0186,Global Commodities Ltd,Ontario Imports Corp,Longueuil,9899.89,Auto parts - brakes,9307,115.87,1078402.09,EUR,1.697,NET60,2025-08-12
INV00081,M0170,Iberian Logistics SL,Atlantic Commerce Group,Montreal,1192.30,Steel coils,6355,78.58,499375.9,EUR,1.8111,NET60,2025-02-25
INV00082,M0126,Mediterranean Commerce SRL,Distribution Quebec Inc.,Longueuil,3880.92,Polyethylene pellets,5303,124.24,658844.72,EUR,1.7903,NET30,2025-08-15
INV00083,M0147,Hanseatic Trade AG,Les Entrepots du Fleuve,Trois-Rivieres,2573.93,Electronic components,7391,48.57,358980.87,EUR,1.5421,NET30,2025-09-18
INV00084,M0001,Channel Freight UK,Canadian Wholesale Group,Longueuil,8136.93,Canned goods,1539,396.93,610875.27,USD,1.518,NET30,2025-04-28
INV00085,M0117,Channel Freight UK,Atlantic Commerce Group,Laval,9456.67,Auto parts - brakes,5489,282.27,1549380.03,EUR,1.7556,NET60,2025-01-11
INV00086,M0091,Global Commodities Ltd,Eastern Canada Imports Ltd,Montreal,3173.27,Polyethylene pellets,4833,276.11,1334439.63,EUR,1.4526,NET60,2025-04-04
INV00087,M0101,Nordic Shipping AB,Metro Supply Chain,Toronto,6315.91,Pharmaceutical ingredients,3582,231.24,828301.68,EUR,1.7633,LC_AT_SIGHT,2025-08-22
INV00088,M0151,Hanseatic Trade AG,Distribution Quebec Inc.,Longueuil,1680.65,Pharmaceutical ingredients,8310,71.64,595328.4,EUR,1.8546,NET60,2025-12-19
INV00089,M0045,Channel Freight UK,Atlantic Commerce Group,Trois-Rivieres,7459.63,Pharmaceutical ingredients,2153,56.26,121127.78,GBP,1.4642,NET90,2025-05-15
INV00090,M0035,Iberian Logistics SL,Canadian Wholesale Group,Longueuil,5080.90,Industrial pumps,2313,209.31,484134.03,GBP,1.4258,NET90,2025-11-12
INV00091,M0173,Euro Freight SA,Ontario Imports Corp,Longueuil,9891.51,Auto parts - brakes,2223,490.76,1090959.48,USD,1.6374,CAD,2025-10-22
INV00092,M0182,Iberian Logistics SL,Canadian Wholesale Group,Gatineau,1176.23,Electronic components,6889,338.75,2333648.75,EUR,1.3872,NET30,2025-04-09
INV00093,M0193,Mediterranean Commerce SRL,St-Laurent Logistics,Montreal,9847.36,Steel coils,2686,491.85,1321109.1,EUR,1.5152,LC_AT_SIGHT,2025-02-20
INV00094,M0173,Iberian Logistics SL,Great Northern Distribution,Quebec City,7599.46,Electronic components,9255,433.1,4008340.5,EUR,1.5325,NET90,2025-09-02
INV00095,M0004,Hanseatic Trade AG,Maple Leaf Trading Co,Trois-Rivieres,8579.87,Industrial pumps,4167,105.53,439743.51,GBP,1.4765,NET60,2025-11-03
INV00096,M0048,Atlantic Exports BV,Great Northern Distribution,Montreal,6445.81,Household appliances,2897,368.86,1068587.42,GBP,1.3966,NET90,2025-01-11
INV00097,M0120,Global Commodities Ltd,Atlantic Commerce Group,Montreal,9088.94,Household appliances,2586,24.77,64055.22,EUR,1.7739,CAD,2025-06-03
INV00098,M0182,Euro Freight SA,Ontario Imports Corp,Toronto,7430.63,Steel coils,5257,265.07,1393472.99,EUR,1.5421,NET90,2025-04-07
INV00099,M0170,Mediterranean Commerce SRL,Maple Leaf Trading Co,Hamilton,7770.81,Electronic components,5487,168.88,926644.56,EUR,1.7014,LC_AT_SIGHT,2025-04-21
INV00100,M0158,Global Commodities Ltd,Great Northern Distribution,Toronto,5942.79,Household appliances,4044,479.65,1939704.6,EUR,1.8468,NET90,2025-09-26
INV00101,M0131,Mediterranean Commerce SRL,Maple Leaf Trading Co,Trois-Rivieres,7520.22,Cotton textiles,7350,245.97,1807879.5,EUR,1.6199,NET30,2025-04-22
INV00102,M0162,TransEuropa SpA,Eastern Canada Imports Ltd,Quebec City,7899.65,Auto parts - brakes,3542,433.15,1534217.3,GBP,1.3143,NET90,2025-01-03
INV00103,M0019,Mediterranean Commerce SRL,Ontario Imports Corp,Toronto,8339.43,Polyethylene pellets,939,93.11,87430.29,EUR,1.5707,LC_AT_SIGHT,2025-07-11
INV00104,M0005,Iberian Logistics SL,Distribution Quebec Inc.,Hamilton,1884.15,Auto parts - brakes,6431,338.28,2175478.68,USD,1.8568,NET30,2025-05-26
INV00105,M0176,Mediterranean Commerce SRL,Les Entrepots du Fleuve,Gatineau,6094.13,Canned goods,4987,305.25,1522281.75,GBP,1.6201,NET60,2025-12-13
INV00106,M0140,Euro Freight SA,Canadian Wholesale Group,Trois-Rivieres,1180.81,Cotton textiles,4882,480.27,2344678.14,EUR,1.3251,CAD,2025-10-13
INV00107,M0138,Mediterranean Commerce SRL,Maple Leaf Trading Co,Trois-Rivieres,3762.92,Steel coils,9020,473.75,4273225.0,GBP,1.3966,NET60,2025-10-27
INV00108,M0065,Channel Freight UK,Distribution Quebec Inc.,Longueuil,6992.80,Auto parts - brakes,3233,61.74,199605.42,USD,1.703,NET90,2025-02-07
INV00109,M0186,Global Commodities Ltd,Metro Supply Chain,Ottawa,9593.40,Auto parts - brakes,9562,246.16,2353781.92,USD,1.6717,NET60,2025-06-16
INV00110,M0116,Mediterranean Commerce SRL,Atlantic Commerce Group,Ottawa,8282.56,Office furniture,5429,310.09,1683478.61,EUR,1.4012,NET90,2025-04-26
INV00111,M0057,Global Commodities Ltd,St-Laurent Logistics,Trois-Rivieres,7169.67,Office furniture,7195,141.96,1021402.2,USD,1.5922,NET30,2025-03-21
INV00112,M0156,Euro Freight SA,Ontario Imports Corp,Quebec City,4390.19,Auto parts - brakes,1393,421.69,587414.17,EUR,1.8098,NET30,2025-10-19
INV00113,M0104,Rhine Trading GmbH,Ontario Imports Corp,Sherbrooke,7979.70,Cotton textiles,9717,110.32,1071979.44,USD,1.5355,CAD,2025-12-28
INV00114,M0075,Iberian Logistics SL,Eastern Canada Imports Ltd,Gatineau,5674.11,Industrial pumps,2243,235.03,527172.29,EUR,1.7105,CAD,2025-03-15
INV00115,M0041,Channel Freight UK,St-Laurent Logistics,Laval,5515.38,Canned goods,2985,285.35,851769.75,GBP,1.3377,NET90,2025-04-02
INV00116,M0172,Global Commodities Ltd,Great Northern Distribution,Laval,6815.15,Office furniture,3437,261.35,898259.95,EUR,1.7222,CAD,2025-11-27
INV00117,M0071,Channel Freight UK,St-Laurent Logistics,Gatineau,9358.56,Pharmaceutical ingredients,4364,291.42,1271756.88,EUR,1.61,LC_AT_SIGHT,2025-04-17
INV00118,M0104,Global Commodities Ltd,Les Entrepots du Fleuve,Laval,8710.74,Cotton textiles,5831,409.53,2387969.43,EUR,1.3994,NET30,2025-09-21
INV00119,M0072,Euro Freight SA,Metro Supply Chain,Hamilton,2594.39,Polyethylene pellets,3515,79.37,278985.55,USD,1.7322,LC_AT_SIGHT,2025-11-16
INV00120,M0123,TransEuropa SpA,Distribution Quebec Inc.,Quebec City,1526.83,Pharmaceutical ingredients,3502,297.44,1041634.88,GBP,1.3808,CAD,2025-01-19
INV00121,M0038,Euro Freight SA,Ontario Imports Corp,Gatineau,8682.91,Electronic components,966,87.34,84370.44,USD,1.8684,NET60,2025-08-20
INV00122,M0121,TransEuropa SpA,Atlantic Commerce Group,Ottawa,8433.89,Steel coils,7941,89.43,710163.63,USD,1.4006,NET90,2025-08-20
INV00123,M0152,TransEuropa SpA,St-Laurent Logistics,Toronto,1235.76,Steel coils,1177,118.76,139780.52,EUR,1.7959,CAD,2025-02-06
INV00124,M0122,Iberian Logistics SL,Ontario Imports Corp,Toronto,2171.94,Cotton textiles,9877,24.32,240208.64,EUR,1.6236,NET30,2025-11-21
INV00125,M0111,Rhine Trading GmbH,Ontario Imports Corp,Gatineau,3971.58,Office furniture,8603,213.24,1834503.72,EUR,1.7828,CAD,2025-02-14
INV00126,M0035,Nordic Shipping AB,Eastern Canada Imports Ltd,Sherbrooke,8679.62,Household appliances,4220,241.18,1017779.6,GBP,1.3033,NET30,2025-10-17
INV00127,M0031,Nordic Shipping AB,Metro Supply Chain,Gatineau,5623.29,Polyethylene pellets,8565,8.56,73316.4,EUR,1.4522,CAD,2025-07-19
INV00128,M0094,TransEuropa SpA,Maple Leaf Trading Co,Gatineau,8081.71,Cotton textiles,4564,495.94,2263470.16,USD,1.6355,LC_AT_SIGHT,2025-05-10
INV00129,M0148,TransEuropa SpA,St-Laurent Logistics,Toronto,3967.99,Cotton textiles,5691,388.23,2209416.93,EUR,1.4287,LC_AT_SIGHT,2025-06-26
INV00130,M0141,Rhine Trading GmbH,Eastern Canada Imports Ltd,Ottawa,7086.65,Auto parts - brakes,902,84.57,76282.14,EUR,1.4579,NET90,2025-02-20
INV00131,M0010,TransEuropa SpA,Atlantic Commerce Group,Longueuil,4686.17,Cotton textiles,6346,465.69,2955268.74,EUR,1.5634,NET60,2025-11-26
INV00132,M0133,Channel Freight UK,Ontario Imports Corp,Longueuil,9939.88,Cotton textiles,4735,101.4,480129.0,EUR,1.5158,NET30,2025-03-03
INV00133,M0071,TransEuropa SpA,Great Northern Distribution,Hamilton,3576.11,Auto parts - brakes,6594,179.8,1185601.2,EUR,1.6298,CAD,2025-10-12
INV00134,M0089,Nordic Shipping AB,Les Entrepots du Fleuve,Gatineau,8310.43,Cotton textiles,4580,117.02,535951.6,EUR,1.6037,CAD,2025-02-17
INV00135,M0076,Iberian Logistics SL,Canadian Wholesale Group,Longueuil,8342.98,Canned goods,5620,473.77,2662587.4,EUR,1.6379,NET60,2025-06-25
INV00136,M0118,Rhine Trading GmbH,Les Entrepots du Fleuve,Toronto,4318.58,Industrial pumps,7598,448.78,3409830.44,GBP,1.7801,LC_AT_SIGHT,2025-06-17
INV00137,M0138,Mediterranean Commerce SRL,Maple Leaf Trading Co,Sherbrooke,2161.96,Office furniture,209,351.91,73549.19,EUR,1.6327,NET60,2025-08-11
INV00138,M0091,Mediterranean Commerce SRL,St-Laurent Logistics,Quebec City,7335.40,Industrial pumps,3630,447.69,1625114.7,USD,1.4241,NET60,2025-04-27
INV00139,M0159,Atlantic Exports BV,Eastern Canada Imports Ltd,Toronto,9694.73,Pharmaceutical ingredients,5883,82.22,483700.26,EUR,1.7585,CAD,2025-01-28
INV00140,M0124,Hanseatic Trade AG,Atlantic Commerce Group,Sherbrooke,7233.75,Household appliances,6131,312.23,1914282.13,EUR,1.4333,CAD,2025-03-02
INV00141,M0135,Iberian Logistics SL,Distribution Quebec Inc.,Longueuil,5460.97,Cotton textiles,6983,241.77,1688279.91,EUR,1.8859,CAD,2025-08-11
INV00142,M0177,Nordic Shipping AB,Great Northern Distribution,Hamilton,2251.56,Pharmaceutical ingredients,187,10.85,2028.95,USD,1.4123,NET90,2025-04-09
INV00143,M0121,Hanseatic Trade AG,Great Northern Distribution,Quebec City,6399.57,Office furniture,5671,186.13,1055543.23,EUR,1.4678,NET60,2025-10-05
INV00144,M0148,Mediterranean Commerce SRL,Maple Leaf Trading Co,Longueuil,6558.35,Cotton textiles,3794,408.02,1548027.88,GBP,1.5838,NET30,2025-03-14
INV00145,M0128,Iberian Logistics SL,Ontario Imports Corp,Trois-Rivieres,7248.42,Steel coils,2253,497.8,1121543.4,EUR,1.3286,NET30,2025-12-06
INV00146,M0016,Hanseatic Trade AG,Eastern Canada Imports Ltd,Laval,5243.56,Office furniture,3580,407.84,1460067.2,EUR,1.6345,NET90,2025-06-01
INV00147,M0106,Channel Freight UK,Maple Leaf Trading Co,Hamilton,8393.93,Steel coils,2036,178.79,364016.44,GBP,1.8876,NET90,2025-06-11
INV00148,M0173,Hanseatic Trade AG,Eastern Canada Imports Ltd,Gatineau,8846.69,Cotton textiles,8413,246.31,2072206.03,GBP,1.6843,NET90,2025-07-21
INV00149,M0157,Atlantic Exports BV,Eastern Canada Imports Ltd,Ottawa,5339.50,Office furniture,9415,205.36,1933464.4,USD,1.7263,CAD,2025-11-13
INV00150,M0070,Global Commodities Ltd,Atlantic Commerce Group,Longueuil,6762.31,Cotton textiles,7339,391.58,2873805.62,EUR,1.375,NET60,2025-11-09
INV00151,M0191,TransEuropa SpA,Eastern Canada Imports Ltd,Toronto,1870.80,Electronic components,1361,109.23,148662.03,EUR,1.7626,CAD,2025-02-04
INV00152,M0068,TransEuropa SpA,Canadian Wholesale Group,Quebec City,4146.66,Cotton textiles,2594,46.73,121217.62,GBP,1.616,NET60,2025-01-02
INV00153,M0170,Global Commodities Ltd,Les Entrepots du Fleuve,Laval,7944.80,Canned goods,5896,430.88,2540468.48,GBP,1.8817,CAD,2025-03-19
INV00154,M0153,Channel Freight UK,Great Northern Distribution,Longueuil,9191.78,Household appliances,7530,317.37,2389796.1,USD,1.589,NET60,2025-02-15
INV00155,M0079,Euro Freight SA,Canadian Wholesale Group,Montreal,1076.27,Office furniture,6042,209.04,1263019.68,USD,1.5815,NET30,2025-12-16
INV00156,M0194,TransEuropa SpA,Canadian Wholesale Group,Hamilton,3910.80,Office furniture,7866,153.31,1205936.46,GBP,1.547,CAD,2025-07-13
INV00157,M0064,TransEuropa SpA,Great Northern Distribution,Quebec City,4320.64,Industrial pumps,2725,358.89,977975.25,EUR,1.7587,CAD,2025-12-22
INV00158,M0070,Iberian Logistics SL,Canadian Wholesale Group,Gatineau,3418.33,Cotton textiles,4714,325.99,1536716.86,USD,1.3662,LC_AT_SIGHT,2025-10-15
INV00159,M0070,Rhine Trading GmbH,St-Laurent Logistics,Montreal,7812.33,Auto parts - brakes,8110,97.96,794455.6,USD,1.4615,LC_AT_SIGHT,2025-12-01
INV00160,M0060,Hanseatic Trade AG,Maple Leaf Trading Co,Trois-Rivieres,6349.73,Office furniture,1527,79.59,121533.93,EUR,1.7182,NET30,2025-06-03
INV00161,M0193,TransEuropa SpA,Eastern Canada Imports Ltd,Longueuil,7033.34,Household appliances,2443,32.74,79983.82,EUR,1.797,NET30,2025-12-08
INV00162,M0099,Rhine Trading GmbH,Maple Leaf Trading Co,Laval,2276.95,Industrial pumps,7307,127.35,930546.45,EUR,1.5335,NET90,2025-06-06
INV00163,M0162,Iberian Logistics SL,Ontario Imports Corp,Toronto,4271.91,Household appliances,741,373.64,276867.24,GBP,1.5163,NET30,2025-11-07
